codigo_comuna,comuna_retc,establecimiento,rubro,emision_ton_total,contaminantes,nombre_comuna,ranking_v2,cai_v2
10107,Llanquihue,MIDESA LLANQUIHUE,Otras industrias manufactureras,5497.785760962781,"Carbon monoxide | Nitrogen oxides (NOx) | PM10, primary | PM2.5, primary | Sulfur dioxide",Llanquihue,1,100
10107,Llanquihue,CECINAS LLANQUIHUE,Otras industrias manufactureras,25.30160233512306,Carbon monoxide | Nitrogen oxides (NOx) | Arsenic | Cadmium | Lead | Mercury | Sulfur dioxide,Llanquihue,1,100
10107,Llanquihue,RIA AUSTRAL,Otras industrias manufactureras,9.602574049967885,"Carbon monoxide | Nitrogen oxides (NOx) | PM10, primary | PM2.5, primary | Sulfur dioxide",Llanquihue,1,100
10107,Llanquihue,PHILLIPI 2,Pesca y acuicultura,2.3525561033136326,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,PISCICULTURA DOMEYKO,Pesca y acuicultura,1.5188282907597572,"Carbon monoxide | Nitrogen oxides (NOx) | PM10, primary | PM2.5, primary | Sulfur dioxide",Llanquihue,1,100
10107,Llanquihue,QUILLAIPE,Pesca y acuicultura,0.21460434021554597,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,Llanquihue - Planta de Tratamiento de Aguas Servidas Llanquihue - Puerto Varas,"Captación, tratamiento y distribución de agua",0.154796573270228,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,PUERTO PHILLIPI,Pesca y acuicultura,0.082235679549809,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,UNIMARC LLANQUIHUE,Comercio minorista,0.0642462476204074,"Carbon monoxide | Nitrogen oxides (NOx) | Arsenic | Cadmium | Lead | Mercury | PM10, primary | PM2.5, primary | Sulfur dioxide",Llanquihue,1,100
10107,Llanquihue,Llanquihue - Planta de Tratamiento de Agua Potable Captación Superficial Llanquihue,"Captación, tratamiento y distribución de agua",0.045119683004333305,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,SUPERMERCADO EL TREBOL LLANQUIHUE,Comercio minorista,0.0422172472555165,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,AELA EOLICA LLANQUIHUE,Otras centrales de generación eléctrica,0.0262160310196916,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,Llanquihue Recolección AS - PEAS VPR,"Captación, tratamiento y distribución de agua",0.0250664905579633,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,LLANQUIHUE,Otras actividades,0.018693445274349,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,NESTLE CHILE S.A. FABRICA LLANQUIHUE,Otras industrias manufactureras,0.01833920184259529,"Carbon monoxide | Nitrogen oxides (NOx) | Arsenic | Lead | PM10, primary | PM2.5, primary | Sulfur dioxide",Llanquihue,1,100
10107,Llanquihue,File 948,Comercio minorista,0.0149959180355535,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,HOSPITAL LLANQUIHUE,Otras actividades,0.006744448574116431,Arsenic | Cadmium | Carbon monoxide | Lead | Mercury | Nitrogen oxides (NOx) | Sulfur dioxide,Llanquihue,1,100
10107,Llanquihue,KAUFMANN LLANQUIHUE,Ventas y mantención de vehículos automotores,0.006659268168280901,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,AREA DE SERVICIO GENERALES SUR TOTORAL,Otras actividades,0.0057439312254083065,"Arsenic | Cadmium | Carbon monoxide | Lead | Nitrogen oxides (NOx) | PM10, primary | PM2.5, primary | Sulfur dioxide",Llanquihue,1,100
10107,Llanquihue,Llanquihue Recolección AS PEAS Chaiten,Plantas de tratamiento de aguas servidas,0.0057169188991846,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,Llanquihue - PEAS Matta Llanquihue - Recolección de Aguas Servidas,"Captación, tratamiento y distribución de agua",0.00562896630073556,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,FRESIA,Otras actividades,0.00137206053580428,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
10107,Llanquihue,COPROPIEDAD CONDOMINIO PARQUE TRES VOLCANES,Otras actividades,0.00105543118138792,Carbon monoxide | Nitrogen oxides (NOx),Llanquihue,1,100
02102,Mejillones,CENTRAL TERMOELÉCTRICA ANGAMOS,Termoeléctricas,8543.187014130137,"Arsenic | Cadmium | Carbon monoxide | Lead | Mercury | PM2.5, primary | PM10, primary | Nitrogen oxides (NOx) | Sulfur dioxide",Mejillones,2,97.42709463899098
02102,Mejillones,CENTRAL TERMICA ANDINA,Termoeléctricas,524.7507150427252,"Arsenic | Cadmium | Carbon monoxide | Lead | Mercury | PM2.5, primary",Mejillones,2,97.42709463899098
02102,Mejillones,CENTRAL TÉRMICA MEJILLONES,Termoeléctricas,268.2114552959703,"Arsenic | Cadmium | Carbon monoxide | Lead | Mercury | PM2.5, primary",Mejillones,2,97.42709463899098
02102,Mejillones,CENTRAL ATACAMA,Termoeléctricas,240.1349227976308,Carbon monoxide | Arsenic | Cadmium | Lead | Mercury,Mejillones,2,97.42709463899098
02102,Mejillones,CENTRAL A GAS CICLO COMBINADO KELAR,Termoeléctricas,157.6161382524063,Carbon monoxide | Arsenic | Cadmium | Lead | Mercury,Mejillones,2,97.42709463899098
02102,Mejillones,CENTRO VACACIONAL HORNITOS,Otras actividades,31.06893354545133,"Carbon monoxide | Nitrogen oxides (NOx) | PM10, primary | PM2.5, primary | Sulfur dioxide",Mejillones,2,97.42709463899098
